key,category,exerciseName,language_en,name_en,language_fr,name_fr
BANDED_EXERCISES_AB_TWIST,BANDED_EXERCISES,AB_TWIST,en,Banded Ab Twist,fr,Torsion abdominale avec élastique
BANDED_EXERCISES_AROUND_THE_WORLD_WHEELCHAIR,BANDED_EXERCISES,AROUND_THE_WORLD_WHEELCHAIR,en,Banded Around The World,fr,Quart de tour avec élastique
BANDED_EXERCISES_BACK_EXTENSION,BANDED_EXERCISES,BACK_EXTENSION,en,Banded Back Extension,fr,Extension du dos avec élastique
BANDED_EXERCISES_BANDED_EXERCISES,BANDED_EXERCISES,BANDED_EXERCISES,en,Banded Exercises,fr,Exercices avec bandes
BANDED_EXERCISES_BICYCLE_CRUNCH,BANDED_EXERCISES,BICYCLE_CRUNCH,en,Banded Bicycle Crunch,fr,Abdominaux bicyclette avec élastique
BANDED_EXERCISES_CALF_RAISES,BANDED_EXERCISES,CALF_RAISES,en,Banded Calf Raises,fr,Élévations du mollet avec élastique
BANDED_EXERCISES_CHEST_FLY_DECLINE_WHEELCHAIR,BANDED_EXERCISES,CHEST_FLY_DECLINE_WHEELCHAIR,en,Banded Decline Chest Fly,fr,Tirage vers le bas avec élastique
BANDED_EXERCISES_CHEST_FLY_INCLINE_WHEELCHAIR,BANDED_EXERCISES,CHEST_FLY_INCLINE_WHEELCHAIR,en,Banded Incline Chest Fly,fr,Tirage vers le haut avec élastique
BANDED_EXERCISES_CLAM_SHELLS,BANDED_EXERCISES,CLAM_SHELLS,en,Banded Clam Shells,fr,Clamshell avec élastique
BANDED_EXERCISES_CURL,BANDED_EXERCISES,CURL,en,Banded Curl,fr,Curl avec élastique
BANDED_EXERCISES_CURL_WHEELCHAIR,BANDED_EXERCISES,CURL_WHEELCHAIR,en,Banded Bicep Curl,fr,Curl biceps avec élastique
BANDED_EXERCISES_DEADBUG,BANDED_EXERCISES,DEADBUG,en,Banded Deadbug,fr,Dead bug avec élastique
BANDED_EXERCISES_DEADLIFT,BANDED_EXERCISES,DEADLIFT,en,Banded Deadlift,fr,Soulevé de terre avec élastique
BANDED_EXERCISES_DONKEY_KICK,BANDED_EXERCISES,DONKEY_KICK,en,Banded Donkey Kick,fr,Donkey Kick avec élastique
BANDED_EXERCISES_EXTERNAL_ROTATION,BANDED_EXERCISES,EXTERNAL_ROTATION,en,Banded External Rotation,fr,Rotation externe avec élastique
