key,category,exerciseName,name_en,name_fr
BANDED_EXERCISES_AB_TWIST,BANDED_EXERCISES,AB_TWIST,Banded Ab Twist,Torsion abdominale avec élastique
BANDED_EXERCISES_AROUND_THE_WORLD_WHEELCHAIR,BANDED_EXERCISES,AROUND_THE_WORLD_WHEELCHAIR,Banded Around The World,Quart de tour avec élastique
BANDED_EXERCISES_BACK_EXTENSION,BANDED_EXERCISES,BACK_EXTENSION,Banded Back Extension,Extension du dos avec élastique
BANDED_EXERCISES_BANDED_EXERCISES,BANDED_EXERCISES,BANDED_EXERCISES,Banded Exercises,Exercices avec bandes
BANDED_EXERCISES_BICYCLE_CRUNCH,BANDED_EXERCISES,BICYCLE_CRUNCH,Banded Bicycle Crunch,Abdominaux bicyclette avec élastique
BANDED_EXERCISES_CALF_RAISES,BANDED_EXERCISES,CALF_RAISES,Banded Calf Raises,Élévations du mollet avec élastique
BANDED_EXERCISES_CHEST_FLY_DECLINE_WHEELCHAIR,BANDED_EXERCISES,CHEST_FLY_DECLINE_WHEELCHAIR,Banded Decline Chest Fly,Tirage vers le bas avec élastique
BANDED_EXERCISES_CHEST_FLY_INCLINE_WHEELCHAIR,BANDED_EXERCISES,CHEST_FLY_INCLINE_WHEELCHAIR,Banded Incline Chest Fly,Tirage vers le haut avec élastique
BANDED_EXERCISES_CLAM_SHELLS,BANDED_EXERCISES,CLAM_SHELLS,Banded Clam Shells,Clamshell avec élastique
BANDED_EXERCISES_CURL,BANDED_EXERCISES,CURL,Banded Curl,Curl avec élastique
BANDED_EXERCISES_CURL_WHEELCHAIR,BANDED_EXERCISES,CURL_WHEELCHAIR,Banded Bicep Curl,Curl biceps avec élastique
BANDED_EXERCISES_DEADBUG,BANDED_EXERCISES,DEADBUG,Banded Deadbug,Dead bug avec élastique
BANDED_EXERCISES_DEADLIFT,BANDED_EXERCISES,DEADLIFT,Banded Deadlift,Soulevé de terre avec élastique
BANDED_EXERCISES_DONKEY_KICK,BANDED_EXERCISES,DONKEY_KICK,Banded Donkey Kick,Donkey Kick avec élastique
BANDED_EXERCISES_EXTERNAL_ROTATION,BANDED_EXERCISES,EXTERNAL_ROTATION,Banded External Rotation,Rotation externe avec élastique
BANDED_EXERCISES_EXTERNAL_ROTATION_AT_90_DEGREE_ABDUCTION,BANDED_EXERCISES,EXTERNAL_ROTATION_AT_90_DEGREE_ABDUCTION,Banded External Rotation at 90-Degree Abduction,Rotation externe avec élastique à 90 degrés d'abduction
BANDED_EXERCISES_FACE_PULL_WHEELCHAIR,BANDED_EXERCISES,FACE_PULL_WHEELCHAIR,Banded Face Pull,Traction de face avec élastique
BANDED_EXERCISES_FIRE_HYDRANT,BANDED_EXERCISES,FIRE_HYDRANT,Banded Fire Hydrant,Fire Hydrant avec élastique
BANDED_EXERCISES_FLY,BANDED_EXERCISES,FLY,Banded Fly,Écarté avec élastique
BANDED_EXERCISES_FRONT_RAISE,BANDED_EXERCISES,FRONT_RAISE,Banded Front Raise,Élévation avant avec élastique
BANDED_EXERCISES_GLUTE_BRIDGE,BANDED_EXERCISES,GLUTE_BRIDGE,Banded Glute Bridge,Pont avec élastique
BANDED_EXERCISES_HAMSTRING_CURLS,BANDED_EXERCISES,HAMSTRING_CURLS,Banded Hamstring Curls,Curl des ischio-jambiers avec élastique
BANDED_EXERCISES_HIGH_PLANK_LEG_LIFTS,BANDED_EXERCISES,HIGH_PLANK_LEG_LIFTS,Banded High Plank Leg Lifts,Levers de jambes en position planche avec élastique
BANDED_EXERCISES_HIP_EXTENSION,BANDED_EXERCISES,HIP_EXTENSION,Banded Hip Extension,Extension de hanche avec élastique
BANDED_EXERCISES_INTERNAL_ROTATION,BANDED_EXERCISES,INTERNAL_ROTATION,Banded Internal Rotation,Rotation interne avec élastique
BANDED_EXERCISES_JUMPING_JACK,BANDED_EXERCISES,JUMPING_JACK,Banded Jumping Jack,Jumping Jack avec élastique
BANDED_EXERCISES_KNEELING_CRUNCH,BANDED_EXERCISES,KNEELING_CRUNCH,Banded Kneeling Crunch,Crunch à genoux avec élastique
BANDED_EXERCISES_LATERAL_BAND_WALKS,BANDED_EXERCISES,LATERAL_BAND_WALKS,Banded Lateral Band Walks,Déplacements latéraux avec élastique
BANDED_EXERCISES_LATERAL_RAISE,BANDED_EXERCISES,LATERAL_RAISE,Banded Lateral Raise,Élévation latérale avec élastique
BANDED_EXERCISES_LATERAL_RAISE_WHEELCHAIR,BANDED_EXERCISES,LATERAL_RAISE_WHEELCHAIR,Banded Lateral Raise,Élévation latérale avec élastique
BANDED_EXERCISES_LATPULL,BANDED_EXERCISES,LATPULL,Banded Latpull,Pull-down avec élastique
BANDED_EXERCISES_LEG_ABDUCTION,BANDED_EXERCISES,LEG_ABDUCTION,Banded Leg Abduction,Abduction de jambe avec élastique
BANDED_EXERCISES_LEG_ADDUCTION,BANDED_EXERCISES,LEG_ADDUCTION,Banded Leg Adduction,Adduction de jambe avec élastique
BANDED_EXERCISES_LEG_EXTENSION,BANDED_EXERCISES,LEG_EXTENSION,Banded Leg Extension,Extension de jambe avec élastique
BANDED_EXERCISES_LUNGE,BANDED_EXERCISES,LUNGE,Banded Lunge,Fente avec élastique
BANDED_EXERCISES_OVERHEAD_CURL_WHEELCHAIR,BANDED_EXERCISES,OVERHEAD_CURL_WHEELCHAIR,Banded Overhead Curl,Curl haut avec élastique
BANDED_EXERCISES_OVERHEAD_PRESS_WHEELCHAIR,BANDED_EXERCISES,OVERHEAD_PRESS_WHEELCHAIR,Overhead Banded Press,Développé épaules avec élastique
BANDED_EXERCISES_PLANK,BANDED_EXERCISES,PLANK,Banded Plank,Planche avec élastique
BANDED_EXERCISES_PULL_APART,BANDED_EXERCISES,PULL_APART,Banded Pull Apart,Pull-Apart avec élastique
BANDED_EXERCISES_PULL_APART_WHEELCHAIR,BANDED_EXERCISES,PULL_APART_WHEELCHAIR,Banded Pull Apart,Pull-Apart avec élastique
BANDED_EXERCISES_PULL_DOWN_WHEELCHAIR,BANDED_EXERCISES,PULL_DOWN_WHEELCHAIR,Banded Pull-down,Tirage avec élastique
BANDED_EXERCISES_PUSH_UPS,BANDED_EXERCISES,PUSH_UPS,Banded Push-ups,Pompes avec élastique
